A.US	A
VMC	VMC
VMI	VMI
VMRK	VMRK
VNO	VNO
VNT	VNT
VOYA.US	VOYA
VOYG	VOYG
VPG	VPG
VRT	VRT
VRTS	VRTS
VSH	VSH
VST	VST
VSTS	VSTS
VSXY	VSXY
VTEX	VTEX
VTMX	VTMX
VTOL	VTOL
VTR	VTR
VTS	VTS
VVV.US	VVV
VVX	VVX
VYX	VYX
VZ	VZ
W.US	W
WAB	WAB
WAL	WAL
WAT	WAT
WBI	WBI
WBX	WBX
WCC	WCC
WCN	WCN
WD	WD
WDS	WDS
WEAV	WEAV
WEC	WEC
WELL.US	WELL
WES	WES
WEX	WEX
WF	WF
WFC	WFC
WGO	WGO
WH	WH
WHD	WHD
WHK	WHK
WHR	WHR
WIT	WIT
WK	WK
WKC	WKC
WLK	WLK
WLY	WLY
WM	WM
WMB	WMB
WMK	WMK
WMS	WMS
WNC	WNC
WOLF	WOLF
WOR	WOR
WPC	WPC
WPM	WPM
WPP	WPP
WRB.US	WRB
WRBY	WRBY
WS	WS
WSM	WSM
WSO	WSO
WST	WST
WTI	WTI
WTM	WTM
WTRG	WTRG
WTS	WTS
WTTR	WTTR
WU	WU
WWW	WWW
WY	WY
XHR	XHR
XIFR	XIFR
XOM	XOM
XPER	XPER
XPEV	XPEV
XPO	XPO
XPOF	XPOF
XPRO	XPRO
XYL	XYL
XYZ	XYZ
XZO	XZO
YALA	YALA
YELP	YELP
YETI	YETI
YEXT	YEXT
YMM	YMM
YOU	YOU
YPF	YPF
YSS	YSS
YUM	YUM
YUMC	YUMC
YXT	YXT
ZBH	ZBH
ZEPP	ZEPP
ZETA.US	ZETA
ZGN	ZGN
ZH	ZH
ZIM	ZIM
ZIMMER-CVR	ZIMMER-CVR
ZIP	ZIP
ZTO	ZTO
ZTS	ZTS
ZWS	ZWS
ZYNE.CVR	ZYNE
